"","state","area_nr","area_name","total_n","germans_n","foreigner_n","for_prop","pop_move_n","pop_migr_background_n","income","unemp_n","unemp_prop","votes_total","afd_votes","afd_prop","east","east_num","state_id","enjoyer","harmony_seeker","hedonist","self_determined","appreciater","type_unknown","conformist","responsibility_denier","afd_prop_log","total_n_z","germans_n_z","foreigner_n_z","for_prop_z","pop_move_n_z","pop_migr_background_n_z","income_z","unemp_n_z","unemp_prop_z","votes_total_z","afd_votes_z","afd_prop_z","afd_prop_log_z","err_avg"
"21","Niedersachsen",52,"Goslar – Northeim – Osterode",255.2,238.2,17,6.7,3904.56,31.6448,20180,17.0984,6.7,149522,15113,0.101075427027461,"no",0,9,0.0930232558139535,0.116279069767442,0.0465116279069767,0.13953488372093,0.0697674418604651,0.372093023255814,0.0930232558139535,0.0697674418604651,-2.29188823860684,-0.51846121717829,-0.273368920946139,-0.638528210810228,-0.631202813869241,0.0664045909369071,-0.712817681582614,-0.367555972463231,0.0522805986935909,0.239088105176184,-0.300692288013641,-0.542234641866654,-0.485346707101849,-0.421336979621353,0.589482978581222
"22","Brandenburg",56,"Prignitz – Ostprignitz-Ruppin – Havelland I",209.5,203.8,5.69999999999999,2.7,2011.2,6.704,17936,18.6455,8.9,118408,22185,0.187360651307344,"yes",1,4,0.128755364806867,0.266094420600858,0.0171673819742489,0.0944206008583691,0.201716738197425,0.163090128755365,0.0901287553648069,0.0386266094420601,-1.67471990290401,-1.72524251517494,-1.49470649947259,-1.24312851511887,-1.37255464082359,-1.26862903446619,-1.53835807688447,-1.32658705973186,0.278513451300698,1.1460786218134,-1.85497546107415,0.301882581115347,1.09438959830245,1.2254036795329,1.52443814735024
"23","Brandenburg",58,"Oberhavel – Havelland II",295.8,287.1,8.69999999999999,2.9,5590.62,15.0858,18806,19.8186,6.7,182563,33982,0.186138483701517,"yes",1,4,0.261146496815287,0.171974522292994,0.089171974522293,0.127388535031847,0.152866242038217,0.0191082802547771,0.101910828025478,0.0764331210191083,-1.68126434626873,0.553646456753084,1.46277664852897,-1.08261515999268,-1.33548704947587,1.25526819555893,-1.26092052534879,-0.954770194346961,0.450056182470886,0.239088105176184,1.34985313594639,1.70997801091154,1.07201377956491,1.20794166737712,1.09211887507477
"24","Brandenburg",59,"Märkisch-Oderland – Barnim II",269.3,262.1,7.19999999999999,2.7,4712.75,11.0413,18742,18.851,7,167678,34702,0.206956189840051,"yes",1,4,0.104046242774566,0.184971098265896,0.0635838150289017,0.202312138728324,0.173410404624277,0.115606936416185,0.0867052023121387,0.069364161849711,-1.57524815140115,-0.146128256527246,0.575176664134743,-1.16287183755577,-1.37255464082359,0.636270240213606,-1.3947934616138,-0.982122239616655,0.30856377203676,0.362768630172169,0.606280948795724,1.79591754718799,1.45315071762984,1.49081615804335,1.13891896364943
"25","Brandenburg",62,"Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I",300.9,290.2,10.7,3.6,5205.57,14.4432,19225,17.4522,5.8,184910,38900,0.210372613703964,"yes",1,4,0.213483146067416,0.123595505617978,0.0337078651685393,0.0786516853932584,0.0898876404494382,0.359550561797753,0.0674157303370786,0.0337078651685393,-1.55887496959449,0.688320080818354,1.57283904659385,-0.975606256575222,-1.20575047975886,0.983764256814334,-1.28219058316654,-0.775699772971937,0.104016868651832,-0.13195346981177,1.46709626145815,2.2969927878665,1.51569965178996,1.53450340290182,0.86011117240522
"26","Brandenburg",65,"Elbe-Elster – Oberspreewald-Lausitz II",200.9,196.8,4.09999999999999,2,462.07,5.4243,17818,19.2864,9.6,121144,30564,0.252294789671796,"yes",1,4,0.134751773049645,0.156028368794326,0.0638297872340425,0.0780141843971631,0.134751773049645,0.290780141843972,0.0851063829787234,0.0567375886524823,-1.37715707486903,-1.95233921457912,-1.74323449510298,-1.32873563785283,-1.5022912105406,-2.3609414526649,-1.58071614253865,-1.37701739319785,0.372232432126692,1.4346665134707,-1.71830004931438,1.30200393453251,2.28322368537321,2.01936665402691,1.62875930321414
"27","Nordrhein-Westfalen",88,"Aachen II",308,274.4,33.6,10.9,4589.2,75.768,19652,25.256,8.2,171601,14848,0.0865263022942757,"no",0,10,0.153846153846154,0.153846153846154,0.11965811965812,0.162393162393162,0.11965811965812,0.00854700854700855,0.153846153846154,0.128205128205128,-2.44730683849886,0.875806890791575,1.0118758564567,0.249645687554677,0.147216604432824,0.549153471918853,0.747660088576442,-0.593210345938201,1.24516865921181,0.857490730156106,0.802252308566772,-0.573865165635069,-0.751716537448651,-0.836027936408008,0.677747114849279
"28","Nordrhein-Westfalen",89,"Heinsberg",252.5,225.4,27.1,10.8,3939,52.015,18979,15.15,6,140891,12312,0.0873867031960878,"no",0,10,0.196078431372549,0.0392156862745098,0.117647058823529,0.117647058823529,0.274509803921569,0.0196078431372549,0.176470588235294,0.0588235294117647,-2.43741214523924,-0.589759018154022,-0.727820112955983,-0.0981332485520641,0.128682808758965,0.0906886985862093,-0.0385641307591469,-0.880834196977321,-0.232634461754788,-0.0494997864811131,-0.731849261295291,-0.876563310075447,-0.735964054295959,-0.809626721767068,1.09738839004979
"29","Nordrhein-Westfalen",92,"Euskirchen – Rhein-Erft-Kreis II",321.7,293.4,28.3,8.8,5758.43,59.5145,21000,19.9454,6.2,186199,18324,0.0984108400152525,"no",0,10,0.119047619047619,0.119047619047619,0.103174603174603,0.182539682539683,0.19047619047619,0.0158730158730159,0.134920634920635,0.134920634920635,-2.31860431823477,1.23757721426103,1.68645184459631,-0.0339279065015882,-0.241993104718209,1.37359328570496,0.209669293772796,-0.0171078924452836,0.468598180861798,0.0329538968495433,1.5314875647324,-0.158968182167106,-0.534130781979379,-0.492621347323757,0.971490477879527
"30","Nordrhein-Westfalen",97,"Rhein-Sieg-Kreis I",312.8,282.4,30.4,9.7,5348.88,69.1288,22669,16.2656,5.2,182749,18238,0.0997980837104444,"no",0,10,0.163841807909605,0.15819209039548,0.135593220338983,0.112994350282486,0.152542372881356,0.00564971751412429,0.0903954802259887,0.180790960451977,-2.30460629714722,1.00255853697065,1.29590785146285,0.0784314420867442,-0.0751889436534805,1.08481406712855,0.527902591122948,0.69618216310344,-0.0694999711798483,-0.379314519803738,1.35914466613181,-0.169233182333459,-0.508732699653843,-0.455271552885067,1.20975081051626
"31","Nordrhein-Westfalen",111,"Viersen",297.7,271.5,26.2,8.8,3602.17,50.0136,21988,19.9459,6.7,172016,12841,0.0746500325551112,"no",0,10,0.168674698795181,0.265060240963855,0.120481927710843,0.0843373493975904,0.0963855421686747,0.0120481927710843,0.108433734939759,0.144578313253012,-2.59494431889374,0.603818983365636,0.908914258266971,-0.146287255089921,-0.241993104718209,-0.146814668995511,-0.104810463962458,0.405139306405608,0.468671295997409,0.239088105176184,0.822983410862205,-0.813421623005668,-0.969150920175367,-1.22995715752474,0.851433974322516
"32","Nordrhein-Westfalen",112,"Kleve",310.3,269.1,41.2,13.3,6609.39,56.7849,19649,19.8592,6.4,167653,11621,0.0693157891597526,"no",0,10,0.168539325842697,0.258426966292135,0.168539325842697,0.134831460674157,0.123595505617978,0.0224719101123595,0.0786516853932584,0.0449438202247191,-2.6690825609343,0.936542054585718,0.823704659765126,0.656279520541016,0.592027700605433,1.97361663777378,0.119319543042429,-0.594492473060218,0.455993131482487,0.1154075801802,0.605032087211662,-0.959041392807427,-1.0668118815258,-1.42777426916802,1.1252856323243
"33","Nordrhein-Westfalen",124,"Steinfurt I – Borken I",272.2,245.2,27,9.9,3565.82,42.4632,20497,11.9768,4.4,153570,9718,0.0632805886566387,"no",0,10,0.0975609756097561,0.121951219512195,0.0731707317073171,0.146341463414634,0.0975609756097561,0.121951219512195,0.219512195121951,0.121951219512195,-2.76017665315389,-0.06954913696072,-0.0248409253157558,-0.103483693722937,-0.0381213523057629,-0.172445543358233,-0.354728678321547,-0.23207787323678,-0.696652358395517,-0.709129253126364,-0.0984766203222822,-1.18618436160476,-1.17730618022795,-1.67083331285002,1.33714680627252
"34","Nordrhein-Westfalen",126,"Borken II",260.3,242.4,17.9,6.9,3383.9,38.2641,20527,10.1517,3.9,157053,9401,0.0598587737897398,"no",0,10,0.117647058823529,0.0784313725490196,0.137254901960784,0.215686274509804,0.0588235294117647,0.0588235294117647,0.196078431372549,0.137254901960784,-2.81576726140255,-0.383787593113019,-0.124252123567909,-0.590374204272371,-0.594135222521524,-0.30071978446047,-0.49371887406154,-0.219256602016612,-0.963537226402259,-0.915263461453005,0.0755147755692698,-1.22402162965981,-1.23995381452137,-1.81916126419564,1.28241503167648
"35","Nordrhein-Westfalen",127,"Coesfeld – Steinfurt II",244.8,231.2,13.6,5.6,2986.56,29.1312,21996,8.0784,3.3,155826,9506,0.0610039402923774,"no",0,10,0.238095238095238,0.108843537414966,0.0952380952380952,0.122448979591837,0.0952380952380952,0.00680272108843537,0.149659863945578,0.183673469387755,-2.79681682193798,-0.793089783899627,-0.521896916576523,-0.820443346619906,-0.835074566281687,-0.580889567659474,-0.796017833046511,0.40855831206432,-1.26671644772623,-1.16262451144497,0.0142206490234948,-1.21148878061949,-1.21898775555766,-1.76859732990111,1.33515258263742
"36","Nordrhein-Westfalen",128,"Steinfurt III",254.1,234.8,19.3,7.6,4091.01,41.1642,20477,12.1968,4.8,151387,10341,0.0683083752237643,"no",0,10,0.0784313725490196,0.117647058823529,0.0588235294117647,0.0980392156862745,0.235294117647059,0.137254901960784,0.156862745098039,0.117647058823529,-2.68372289585628,-0.547508469427662,-0.394082518823753,-0.515467971880152,-0.464398652804513,0.197872996024375,-0.397725573910185,-0.24062538738356,-0.664481698726741,-0.544221886465051,-0.207527213842597,-1.11182279063222,-1.08525592432146,-1.4668378979788,1.15197369982887
"37","Nordrhein-Westfalen",130,"Warendorf",277.4,252.9,24.5,8.9,4271.96,58.5314,22079,15.8118,5.7,162139,12024,0.0741585923189362,"no",0,10,0.12,0.12,0.18,0.16,0.12,0.06,0.18,0.06,-2.60154933958031,0.0677651463999483,0.248539869877667,-0.237244822994761,-0.22345930904435,0.325463277067964,0.177128687111372,0.444030495773454,-0.135859268260261,-0.173180311477098,0.329583176230893,-0.910939124586027,-0.978148358491153,-1.24758080327894,1.04845411480762
"38","Nordrhein-Westfalen",131,"Gütersloh I",322.1,284.4,37.7,11.7,5507.91,86.3228,23294,15.1387,4.7,175031,15082,0.08616759316921,"no",0,10,0.0909090909090909,0.136363636363636,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.318181818181818,0.0909090909090909,0.0909090909090909,-2.45146112131226,1.24813985144262,1.36691585021439,0.469013939560467,0.295486969823693,1.19694826107363,1.09702393273269,0.96329198019029,-0.234286863819593,-0.585448728130379,0.973596117900112,-0.545934816345223,-0.758283893941901,-0.847112475297469,1.39081978662257
"39","Nordrhein-Westfalen",137,"Paderborn – Gütersloh III",331.4,303.9,27.5,8.3,5567.52,93.1234,20240,19.2212,5.8,185897,18483,0.0994260262403374,"no",0,10,0.136363636363636,0.136363636363636,0.0909090909090909,0.0454545454545455,0.0909090909090909,0.318181818181818,0.136363636363636,0.0454545454545455,-2.3083413661882,1.49372116591458,2.05924383804189,-0.0767314678685721,-0.334662083087502,1.23898007457464,1.32212376963807,-0.341913430022893,0.362698218443036,-0.13195346981177,1.51640131679693,-0.139989867906057,-0.51554444173518,-0.465237537364035,1.02494127834444
"40","Nordrhein-Westfalen",150,"Märkischer Kreis II",272,241,31,11.4,2312,76.16,24680,18.224,6.7,144207,16682,0.115680930884076,"no",0,10,0.115384615384615,0.115384615384615,0.0384615384615385,0.192307692307692,0.0769230769230769,0.153846153846154,0.269230769230769,0.0384615384615385,-2.15691947354254,-0.0748304555515146,-0.173957722693985,0.11053411311198,0.239885582802118,-1.05653090493919,0.760635287245223,1.55563471056209,0.216877391980748,0.239088105176184,-0.566200260785274,-0.354958069064228,-0.217944670500811,-0.0612106732480587,1.02038977436736
"41","Sachsen",158,"Sächsische Schweiz-Osterzgebirge",247.4,240.8,6.59999999999999,2.7,2894.58,7.1746,18735,15.8336,6.4,154371,54746,0.35463914854474,"yes",1,13,0.0232558139534884,0.0465116279069767,0.0232558139534884,0.0232558139534884,0.0697674418604651,0.720930232558139,0.0232558139534884,0.0697674418604651,-1.03665448944846,-0.724432642219293,-0.181058522569139,-1.19497450858101,-1.37255464082359,-0.645745903942367,-1.52278121848262,-0.985113869568027,-0.132671448347627,0.1154075801802,-0.0584630951689279,4.18837874875066,4.1569755439821,2.92790233144572,2.15616639870426
"42","Hessen",173,"Gießen",286.5,258.1,28.4,9.9,3352.05,63.603,19880,16.617,5.8,164311,20357,0.123893105148164,"no",0,7,0.136363636363636,0.113636363636364,0.0681818181818182,0.159090909090909,0.0454545454545455,0.340909090909091,0.0681818181818182,0.0681818181818182,-2.08833614041715,0.308065142281119,0.433160666631666,-0.0285774613307171,-0.0381213523057629,-0.323177648241837,0.344998629888384,-0.495768684664918,-0.0181146538725398,-0.13195346981177,0.438084270654221,0.0836916473468093,-0.0675936696248609,0.121784721467524,0.291605269003985
"43","Hessen",175,"Main-Kinzig – Wetterau II – Schotten",232.2,212.3,19.9,8.6,2879.28,52.245,21761,10.6812,4.6,136022,20921,0.15380600197027,"no",0,7,0.122222222222222,0.211111111111111,0.0444444444444444,0.111111111111111,0.155555555555556,0.122222222222222,0.0888888888888889,0.144444444444444,-1.87206319815792,-1.12581285511971,-1.19292250477856,-0.483365300854915,-0.279060696065926,-0.656534139918973,-0.0309511315402195,0.308125020839665,-0.886108297790364,-0.626675569795708,-0.975077543407253,0.15101095076336,0.480060804290783,0.698848428223675,0.0945451524073297
"44","Hessen",176,"Hochtaunus",250.3,218.9,31.4,12.5,3579.29,57.3187,27206,10.012,4,144609,16132,0.111555988908021,"no",0,7,0.190909090909091,0.136363636363636,0.118181818181818,0.136363636363636,0.136363636363636,0.0363636363636364,0.154545454545455,0.0909090909090909,-2.19322867144057,-0.647853522652766,-0.958596108898482,0.131935893795472,0.443757335214563,-0.162947665018043,0.136988321229661,2.6351857473003,-0.983965595291932,-0.874036619787677,-0.546118566513554,-0.42060632594207,-0.293465371196031,-0.158091587288919,0.170647022420483
"45","Hessen",177,"Wetterau I",237.7,211,26.7,11.2,4135.98,45.4007,22008,10.6965,4.5,137220,15895,0.115835883981927,"no",0,7,0.197368421052632,0.131578947368421,0.0657894736842105,0.184210526315789,0.151315789473684,0.0197368421052632,0.125,0.125,-2.15558088289998,-0.980576593872848,-1.23907770396706,-0.119535029235556,0.2028179914544,0.229581948434047,-0.257497438297201,0.413686820552388,-0.883870974640672,-0.667902411461036,-0.915232096298991,-0.448894756633068,-0.215107741740967,-0.0576390194389528,0.0146687705395795
"46","Hessen",178,"Rheingau-Taunus – Limburg",294,262.7,31.3,10.6,3351.6,52.332,22673,14.112,4.8,171621,20364,0.118656807733319,"no",0,7,0.201834862385321,0.155963302752294,0.119266055045872,0.192660550458716,0.073394495412844,0.0458715596330275,0.146788990825688,0.0642201834862385,-2.13151992114862,0.506114589435929,0.596479063760203,0.126585448624599,0.0916152174112479,-0.323494949299972,-0.0280714318356686,0.697891665932796,-0.384421483282923,-0.544221886465051,0.803251397834021,0.0845271706161636,-0.163461405974404,0.00656091066471621,0.0698088545323527
